Row Labels,STATE_ABBREVIATION,STUDYYEAR,Average of MCBTO5,Average of MC6TO11,Average of MC12TO17,Average of MC18TO23,Average of MC24TO29,Average of MC30TO35,Average of MC36TO41,Average of MC42TO47,Average of MC48TO53,Average of MC54TOSA,Average of MCSA
California,CA,2014,273.3910345,273.3910345,273.3910345,273.3910345,186.4006897,186.4006897,186.4006897,186.4006897,186.4006897,186.4006897,150.7918966
California,CA,2015,278.1058621,278.1058621,278.1058621,278.1058621,189.2393103,189.2393103,189.2393103,189.2393103,189.2393103,189.2393103,154.7881034
California,CA,2016,282.8163793,282.8163793,282.8163793,282.8163793,192.0725862,192.0725862,192.0725862,192.0725862,192.0725862,192.0725862,158.7784483
California,CA,2017,280.0851724,280.0851724,280.0851724,280.0851724,195.3358621,195.3358621,195.3358621,195.3358621,195.3358621,195.3358621,162.7505172
California,CA,2018,277.3487931,277.3487931,277.3487931,277.3487931,198.5939655,198.5939655,198.5939655,198.5939655,198.5939655,198.5939655,166.7182759
Colorado,CO,2008,,,,,,,,,,,
Colorado,CO,2009,,,,,,,,,,,
Colorado,CO,2010,,,,,,,,,,,
Colorado,CO,2011,,,,,,,,,,,
Colorado,CO,2012,,,,,,,,,,,
Colorado,CO,2013,,,,,,,,,,,
Colorado,CO,2014,,,,,,,,,,,
Colorado,CO,2015,224.8375,224.6046875,207.859375,203.5328125,199.9875,192.0765625,176.1125,176.1125,176.1125,176.1125,169.8203125
Colorado,CO,2016,,,,,,,,,,,
Colorado,CO,2017,,,,,,,,,,,
Colorado,CO,2018,,,,,,,,,,,
Connecticut,CT,2008,218.3125,218.3125,218.3125,218.3125,218.3125,218.3125,182.34375,182.34375,182.34375,182.34375,93.53125
Connecticut,CT,2009,222.875,222.875,222.875,222.875,222.875,222.875,185.875,185.875,185.875,185.875,92
Connecticut,CT,2010,227.4375,227.4375,227.4375,227.4375,227.4375,227.4375,189.40625,189.40625,189.40625,189.40625,90.46875
Connecticut,CT,2011,232,232,232,232,232,232,192.9375,192.9375,192.9375,192.9375,88.9375
Connecticut,CT,2012,241.875,241.875,241.875,241.875,241.875,241.875,201.7975,201.7975,201.7975,201.7975,90.07875
Connecticut,CT,2013,251.75,251.75,251.75,251.75,251.75,251.75,210.65625,210.65625,210.65625,210.65625,91.21875
Connecticut,CT,2014,261.625,261.625,261.625,261.625,261.625,261.625,219.51625,219.51625,219.51625,219.51625,92.36
Connecticut,CT,2015,271.5,271.5,271.5,271.5,271.5,271.5,228.375,228.375,228.375,228.375,93.5
Connecticut,CT,2016,278.79,278.79,278.79,278.79,278.79,278.79,232.625,232.625,232.625,232.625,95.54
Connecticut,CT,2017,286.085,286.085,286.085,286.085,286.085,286.085,236.875,236.875,236.875,236.875,97.585
Connecticut,CT,2018,293.375,293.375,293.375,293.375,293.375,293.375,241.125,241.125,241.125,241.125,99.625
Delaware,DE,2008,150.11,150.11,135.2666667,135.2666667,135.2666667,135.2666667,120.8766667,120.8766667,120.8766667,120.8766667,62.18666667
Delaware,DE,2009,155.6933333,155.6933333,138.89,138.89,138.89,138.89,125.85,125.85,125.85,125.85,64.33
Delaware,DE,2010,161.28,161.28,142.5066667,142.5066667,142.5066667,142.5066667,130.82,130.82,130.82,130.82,66.47333333
Delaware,DE,2011,166.8666667,166.8666667,146.13,146.13,146.13,146.13,135.7933333,135.7933333,135.7933333,135.7933333,68.61666667
Delaware,DE,2012,168.6666667,168.6666667,149.5833333,149.5833333,149.5833333,149.5833333,138.9633333,138.9633333,138.9633333,138.9633333,67.82
Delaware,DE,2013,170.4733333,170.4733333,153.0333333,153.0333333,153.0333333,153.0333333,142.1366667,142.1366667,142.1366667,142.1366667,67.03
Delaware,DE,2014,178.33,178.33,158.4033333,158.4033333,158.4033333,158.4033333,146.7933333,146.7933333,146.7933333,146.7933333,70.50333333
Delaware,DE,2015,186.1866667,186.1866667,163.7733333,163.7733333,163.7733333,163.7733333,151.4533333,151.4533333,151.4533333,151.4533333,73.97666667
Delaware,DE,2016,192.0833333,192.0833333,171.64,171.64,171.64,171.64,156.0366667,156.0366667,156.0366667,156.0366667,77.43
Delaware,DE,2017,197.9733333,197.9733333,179.5033333,179.5033333,179.5033333,179.5033333,160.61,160.61,160.61,160.61,80.87666667
Delaware,DE,2018,203.8633333,203.8633333,187.3666667,187.3666667,187.3666667,187.3666667,165.1933333,165.1933333,165.1933333,165.1933333,84.33
District of Columbia,DC,2008,,,,,,,,,,,
District of Columbia,DC,2009,,,,,,,,,,,
District of Columbia,DC,2010,,,,,,,,,,,
District of Columbia,DC,2011,,,,,,,,,,,
District of Columbia,DC,2012,303.58,303.58,282.07,282.07,253.06,253.06,236.31,236.31,237.78,237.78,248.63
District of Columbia,DC,2013,,,,,,,,,,,
District of Columbia,DC,2014,,,,,,,,,,,
District of Columbia,DC,2015,,,,,,,,,,,
District of Columbia,DC,2016,,,,,,,,,,,
District of Columbia,DC,2017,,,,,,,,,,,
District of Columbia,DC,2018,,,,,,,,,,,
Florida,FL,2008,124.4867164,124.4867164,112.1277612,112.1277612,103.8441791,103.8441791,98.02477612,98.02477612,95.54835821,95.54835821,85.39746269
Florida,FL,2009,130.2868657,130.2868657,117.2198507,117.2198507,108.798209,108.798209,102.0437313,102.0437313,98.56850746,98.56850746,89.1738806
Florida,FL,2010,135.7278788,135.7278788,125.7778788,125.7778788,113.9424242,113.9424242,105.195303,105.195303,102.5489394,102.5489394,90.85348485
Florida,FL,2011,140.3680303,140.3680303,133.7354545,133.7354545,118.4160606,118.4160606,107.7777273,107.7777273,106.0148485,106.0148485,92.16030303
Florida,FL,2012,145.0083333,145.0083333,141.6922727,141.6922727,122.8909091,122.8909091,110.3628788,110.3628788,109.479697,109.479697,93.46772727
Florida,FL,2013,149.6495455,149.6495455,149.6495455,149.6495455,127.365303,127.365303,112.9454545,112.9454545,112.9454545,112.9454545,94.77454545
Florida,FL,2014,151.355,151.355,151.4339394,151.4339394,129.4077273,129.4077273,114.56,114.56,114.5918182,114.5918182,97.05606061
Florida,FL,2015,153.0522388,153.0522388,153.2079104,153.2079104,131.4189552,131.4189552,116.160597,116.160597,116.2226866,116.2226866,99.16985075
Florida,FL,2016,155.2167692,155.2167692,155.2167692,155.2167692,133.3778462,133.3778462,117.756,117.756,117.756,117.756,101.9461538
Florida,FL,2017,157.8812308,157.8812308,157.8812308,157.8812308,135.6872308,135.6872308,119.7504615,119.7504615,119.7504615,119.7504615,103.2401538
Florida,FL,2018,,,,,,,,,,,
Georgia,GA,2008,,,,,,,,,,,
Georgia,GA,2009,,,,,,,,,,,
Georgia,GA,2010,,,,,,,,,,,
Georgia,GA,2011,,,,,,,,,,,
Georgia,GA,2012,,,,,,,,,,,
Georgia,GA,2013,,,,,,,,,,,
Georgia,GA,2014,,,,,,,,,,,
Georgia,GA,2015,,,,,,,,,,,
Georgia,GA,2016,110.5345912,110.5345912,105.5345912,105.5345912,103.6792453,103.6792453,102.7987421,102.7987421,100.591195,100.591195,93.20754717
Georgia,GA,2017,,,,,,,,,,,
Georgia,GA,2018,,,,,,,,,,,
Hawaii,HI,2008,,,,,,,,,,,
Hawaii,HI,2009,,,,,,,,,,,
Hawaii,HI,2010,,,,,,,,,,,
Hawaii,HI,2011,222.12,222.12,222.12,222.12,222.12,222.12,180.58,180.58,180.58,180.58,20.19
Hawaii,HI,2012,253.85,253.85,253.85,253.85,253.85,253.85,184.62,184.62,184.62,184.62,23.08
Hawaii,HI,2013,285.58,285.58,285.58,285.58,285.58,285.58,188.65,188.65,188.65,188.65,25.96
Hawaii,HI,2014,317.31,317.31,317.31,317.31,317.31,317.31,192.69,192.69,192.69,192.69,28.85
Hawaii,HI,2015,323.08,323.08,323.08,323.08,323.08,323.08,197.31,197.31,197.31,197.31,23.08
Hawaii,HI,2016,263.08,263.08,263.08,263.08,263.08,263.08,207.69,207.69,207.69,207.69,40.94
Hawaii,HI,2017,276.92,276.92,276.92,276.92,276.92,276.92,207.69,207.69,207.69,207.69,34.62
Hawaii,HI,2018,346.15,346.15,346.15,346.15,346.15,346.15,226.15,226.15,226.15,226.15,34.62
Idaho,ID,2008,,,,,,,,,,,
Idaho,ID,2009,,,,,,,,,,,
Idaho,ID,2010,,,,,,,,,,,
Idaho,ID,2011,,,,,,,,,,,
Idaho,ID,2012,122.3265909,122.3265909,118.5586364,118.5586364,118.5586364,109.0425,109.0425,109.0425,109.0425,109.0425,86.15204545
Idaho,ID,2013,116.0593182,116.0593182,114.7704545,114.7704545,114.7704545,105.9811364,105.9811364,105.9811364,105.9811364,105.9811364,88.28590909
Idaho,ID,2014,108.8252273,108.8252273,110.0259091,110.0259091,110.0259091,102.0118182,102.0118182,102.0118182,102.0118182,102.0118182,90.84340909
Idaho,ID,2015,101.5945455,101.5945455,105.2865909,105.2865909,105.2865909,98.04431818,98.04431818,98.04431818,98.04431818,98.04431818,93.40136364
Idaho,ID,2016,111.0388636,111.0388636,110.7645455,110.7645455,110.7645455,102.6425,102.6425,102.6425,102.6425,102.6425,96.06886364
Idaho,ID,2017,120.4843182,120.4843182,116.2472727,116.2472727,116.2472727,107.2375,107.2375,107.2375,107.2375,107.2375,98.73772727
Idaho,ID,2018,129.9340909,129.9340909,121.7231818,121.7231818,121.7231818,111.8295455,111.8295455,111.8295455,111.8295455,111.8295455,101.4090909
Illinois,IL,2008,151.8367647,151.8367647,151.8367647,151.8367647,132.5078431,132.5078431,116.7647059,116.7647059,116.7647059,116.7647059,66.49411765
Illinois,IL,2009,156.5753922,156.5753922,156.5753922,156.5753922,134.485098,134.485098,118.3651961,118.3651961,118.3651961,118.3651961,67.93333333
Illinois,IL,2010,161.3117647,161.3117647,161.3117647,161.3117647,136.4607843,136.4607843,119.9656863,119.9656863,119.9656863,119.9656863,69.37254902
Illinois,IL,2011,167.2540196,167.2540196,167.2540196,167.2540196,142.0056863,142.0056863,124.7890196,124.7890196,124.7890196,124.7890196,71.00509804
Illinois,IL,2012,173.1862745,173.1862745,173.1862745,173.1862745,147.5490196,147.5490196,129.6039216,129.6039216,129.6039216,129.6039216,72.62990196
Illinois,IL,2013,177.9493137,177.9493137,177.9493137,177.9493137,151.4004902,151.4004902,131.3012745,131.3012745,131.3012745,131.3012745,75.64235294
Illinois,IL,2014,182.7107843,182.7107843,182.7107843,182.7107843,155.2519608,155.2519608,132.9901961,132.9901961,132.9901961,132.9901961,78.64705882
Illinois,IL,2015,184.0578431,184.0578431,184.0578431,184.0578431,157.1014706,157.1014706,135.7770588,135.7770588,135.7770588,135.7770588,76.71568627
Illinois,IL,2016,185.3955882,185.3955882,185.3955882,185.3955882,158.9509804,158.9509804,138.5632353,138.5632353,138.5632353,138.5632353,74.78431373
Illinois,IL,2017,185.8318627,185.8318627,185.8318627,185.8318627,159.1568627,159.1568627,138.7059804,138.7059804,138.7059804,138.7059804,76.75490196
Illinois,IL,2018,186.2681373,186.2681373,186.2681373,186.2681373,159.3627451,159.3627451,138.8480392,138.8480392,138.8480392,138.8480392,78.7254902
Indiana,IN,2008,,,,,,,,,,,
Indiana,IN,2009,,,,,,,,,,,
Indiana,IN,2010,,,,,,,,,,,
Indiana,IN,2011,,,,,,,,,,,
Indiana,IN,2012,,,,,,,,,,,
Indiana,IN,2013,,,,,,,,,,,
Indiana,IN,2014,,,,,,,,,,,
Indiana,IN,2015,,,,,,,,,,,
Indiana,IN,2016,,,,,,,,,,,
Indiana,IN,2017,,,,,,,,,,,
Indiana,IN,2018,,,,,,,,,,,
Iowa,IA,2008,,,,,,,,,,,
Iowa,IA,2009,,,,,,,,,,,
Iowa,IA,2010,,,,,,,,,,,
Iowa,IA,2011,,,,,,,,,,,
Iowa,IA,2012,,,,,,,,,,,
Iowa,IA,2013,,,,,,,,,,,
